year,session,zone,series,subject_group,archive_count,document_count,parsed_count,official_question_count,validated_question_count,compatible_2027_count,review_count,rejected_count,missing_asset_count,official_correction_count
2025,normale,metropole,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2019,normale,centres_etrangers,generale,FRENCH,1,0,0,0,0,0,0,0,0,0
2019,normale,centres_etrangers,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2023,normale,nouvelle_caledonie,generale,HISTORY_GEOGRAPHY_EMC,1,0,0,12,0,0,12,0,0,0
2026,normale,centres_etrangers,generale,FRENCH,1,0,0,0,0,0,0,0,0,0
2026,normale,centres_etrangers,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2023,normale,nouvelle_caledonie,generale,MATHEMATICS,1,1,1,32,0,0,32,0,0,0
2021,normale,metropole,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2022,normale,centres_etrangers,generale,HISTORY_GEOGRAPHY_EMC,1,0,0,14,0,0,14,0,0,0
2022,normale,centres_etrangers,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2024,normale,unknown,generale,SCIENCES,1,1,1,2,0,0,2,0,0,0
2024,normale,amerique_nord,generale,SCIENCES,1,1,1,1,0,0,1,0,0,0
2019,normale,metropole,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2021,normale,amerique_nord,generale,SCIENCES,1,1,1,1,0,0,1,0,0,0
2025,normale,unknown,generale,FRENCH,1,4,4,18,0,0,18,0,0,0
2019,normale,centres_etrangers,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2022,normale,metropole,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2023,normale,metropole,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2024,normale,asie,generale,FRENCH,3,4,4,6,0,0,6,0,0,0
2023,normale,metropole,generale,FRENCH,3,2,2,22,0,0,22,0,0,0
2020,normale,metropole,generale,SCIENCES,1,1,1,3,0,0,3,0,0,0
2024,normale,unknown,generale,FRENCH,1,14,14,29,0,0,29,0,0,0
2025,normale,amerique_nord,generale,FRENCH,4,4,4,30,0,0,30,0,0,0
2024,normale,amerique_nord,generale,FRENCH,1,1,1,1,0,0,1,0,0,0
2026,normale,centres_etrangers,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2019,normale,centres_etrangers,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2023,normale,nouvelle_caledonie,generale,SCIENCES,1,1,1,1,0,0,1,0,0,0
2022,normale,centres_etrangers,generale,SCIENCES,1,0,0,1,0,0,1,0,0,0
2025,normale,metropole,generale,FRENCH,1,0,0,0,0,0,0,0,0,0
2022,normale,amerique_nord,generale,FRENCH,1,1,1,23,0,0,23,0,0,0
2025,normale,metropole,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2020,normale,amerique_nord,generale,FRENCH,2,3,3,23,0,0,23,0,0,0
2019,normale,unknown,generale,MATHEMATICS,1,1,1,26,0,0,26,0,0,0
2019,normale,metropole,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2021,normale,metropole,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2025,normale,amerique_nord,generale,MATHEMATICS,1,1,1,27,0,0,27,0,0,0
2024,normale,amerique_nord,generale,MATHEMATICS,1,1,1,30,0,0,30,0,0,0
2024,normale,unknown,generale,MATHEMATICS,1,2,2,24,0,0,24,0,0,0
2021,normale,amerique_nord,generale,MATHEMATICS,1,1,1,22,0,0,22,0,0,0
2024,normale,amerique_nord,generale,HISTORY_GEOGRAPHY_EMC,1,1,1,13,0,0,13,0,0,0
2025,normale,amerique_nord,generale,HISTORY_GEOGRAPHY_EMC,1,0,0,11,0,0,11,0,0,0
2022,normale,centres_etrangers,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2023,normale,unknown,generale,HISTORY_GEOGRAPHY_EMC,1,1,1,13,0,0,13,0,0,0
2023,normale,unknown,generale,MATHEMATICS,1,1,1,24,0,0,24,0,0,0
2024,normale,centres_etrangers,generale,FRENCH,7,7,7,54,0,0,54,0,0,0
2023,normale,centres_etrangers,generale,MATHEMATICS,2,1,1,30,0,0,30,0,0,0
2021,normale,centres_etrangers,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2023,normale,centres_etrangers,generale,HISTORY_GEOGRAPHY_EMC,1,0,0,10,0,0,10,0,0,0
2018,normale,unknown,generale,MATHEMATICS,1,1,1,6,0,0,6,0,0,0
2026,normale,metropole,generale,MATHEMATICS,2,1,1,28,0,0,28,0,0,0
2018,normale,unknown,generale,HISTORY_GEOGRAPHY_EMC,1,1,1,15,0,0,15,0,0,0
2018,normale,metropole,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2024,normale,centres_etrangers,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2026,normale,metropole,generale,HISTORY_GEOGRAPHY_EMC,1,1,1,15,0,0,15,0,0,0
2024,normale,metropole,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2025,normale,metropole,generale,MATHEMATICS,2,1,1,30,0,0,30,0,0,0
2020,normale,amerique_nord,generale,MATHEMATICS,1,1,1,31,0,0,31,0,0,0
2019,normale,metropole,generale,FRENCH,1,0,0,0,0,0,0,0,0,0
2025,normale,metropole,generale,HISTORY_GEOGRAPHY_EMC,1,1,1,13,0,0,13,0,0,0
2019,normale,metropole,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2019,normale,unknown,generale,FRENCH,1,1,1,1,0,0,1,0,0,0
2022,normale,centres_etrangers,generale,FRENCH,4,3,3,18,0,0,18,0,0,0
2022,normale,centres_etrangers,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2026,normale,centres_etrangers,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2022,normale,amerique_nord,generale,SCIENCES,1,1,1,1,0,0,1,0,0,0
2023,normale,nouvelle_caledonie,generale,FRENCH,2,2,2,26,0,0,26,0,0,0
2025,normale,metropole,generale,SCIENCES,1,1,1,8,0,0,8,0,0,0
2020,normale,amerique_nord,generale,SCIENCES,1,1,1,1,0,0,1,0,0,0
2021,normale,metropole,generale,FRENCH,2,1,1,1,0,0,1,0,0,0
2021,normale,metropole,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2021,normale,centres_etrangers,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2025,normale,centres_etrangers,generale,MATHEMATICS,2,1,1,24,0,0,24,0,0,0
2018,normale,metropole,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2024,normale,centres_etrangers,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2018,normale,metropole,generale,FRENCH,1,0,0,0,0,0,0,0,0,0
2025,normale,centres_etrangers,generale,HISTORY_GEOGRAPHY_EMC,1,0,0,15,0,0,15,0,0,0
2024,normale,metropole,generale,FRENCH,1,0,0,0,0,0,0,0,0,0
2021,normale,centres_etrangers,generale,FRENCH,1,0,0,0,0,0,0,0,0,0
2024,normale,metropole,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2023,normale,metropole,generale,HISTORY_GEOGRAPHY_EMC,2,0,0,22,0,0,22,0,0,0
2024,normale,asie,generale,MATHEMATICS,1,1,1,22,0,0,22,0,0,0
2018,normale,centres_etrangers,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2024,normale,polynesie,generale,FRENCH,3,5,5,27,0,0,27,0,0,0
2023,normale,metropole,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2025,normale,centres_etrangers,generale,SCIENCES,1,1,1,1,0,0,1,0,0,0
2024,normale,centres_etrangers,generale,MATHEMATICS,2,1,1,26,0,0,26,0,0,0
2024,normale,centres_etrangers,generale,HISTORY_GEOGRAPHY_EMC,2,0,0,31,0,0,31,0,0,0
2025,normale,centres_etrangers,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2026,normale,metropole,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2023,normale,centres_etrangers,generale,FRENCH,4,3,3,23,0,0,23,0,0,0
2023,normale,centres_etrangers,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2026,normale,metropole,generale,FRENCH,2,1,1,17,0,0,17,0,0,0
2023,normale,unknown,generale,FRENCH,1,2,2,16,0,0,16,0,0,0
2018,normale,unknown,generale,FRENCH,1,1,1,1,0,0,1,0,0,0
2022,normale,metropole,generale,HISTORY_GEOGRAPHY_EMC,1,1,1,12,0,0,12,0,0,0
2023,normale,centres_etrangers,generale,SCIENCES,1,1,1,1,0,0,1,0,0,0
2018,normale,centres_etrangers,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2022,normale,metropole,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2018,normale,centres_etrangers,generale,FRENCH,1,0,0,0,0,0,0,0,0,0
2026,normale,metropole,generale,SCIENCES,1,1,1,1,0,0,1,0,0,0
2025,normale,centres_etrangers,generale,FRENCH,5,5,5,35,0,0,35,0,0,0
2024,normale,metropole,generale,MATHEMATICS,1,0,0,3,0,0,3,0,0,0
2023,normale,centres_etrangers,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2018,normale,metropole,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2021,normale,centres_etrangers,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2026,normale,metropole,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2025,normale,centres_etrangers,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2018,normale,centres_etrangers,generale,MATHEMATICS,1,0,0,0,0,0,0,0,0,0
2022,normale,metropole,generale,FRENCH,1,0,0,0,0,0,0,0,0,0
2023,normale,metropole,generale,HISTORY,1,0,0,0,0,0,0,0,0,0
2022,normale,metropole,generale,PHYSICS_CHEMISTRY,1,0,0,0,0,0,0,0,0,0
2024,normale,centres_etrangers,generale,SCIENCES,1,0,0,1,0,0,1,0,0,0
