subject,year,questions,official_correction,curated_correction,ai_correction,deterministic,missing
FRENCH,,118,0,0,0,0,118
FRENCH,2018,1,0,0,0,0,1
FRENCH,2019,1,0,0,0,0,1
FRENCH,2020,23,0,0,0,0,23
FRENCH,2021,1,0,0,0,0,1
FRENCH,2022,26,0,0,0,0,26
FRENCH,2023,43,0,0,0,0,43
FRENCH,2024,85,0,0,0,0,85
FRENCH,2025,57,0,0,0,0,57
FRENCH,2026,17,0,0,0,0,17
HISTORY_GEOGRAPHY_EMC,2018,15,0,0,0,0,15
HISTORY_GEOGRAPHY_EMC,2022,40,0,0,0,0,40
HISTORY_GEOGRAPHY_EMC,2023,101,0,0,0,0,101
HISTORY_GEOGRAPHY_EMC,2024,75,0,0,0,0,75
HISTORY_GEOGRAPHY_EMC,2025,65,0,0,0,0,65
HISTORY_GEOGRAPHY_EMC,2026,15,0,0,0,0,15
MATHEMATICS,,5,0,0,0,0,5
MATHEMATICS,2018,6,0,0,0,0,6
MATHEMATICS,2019,26,0,0,0,0,26
MATHEMATICS,2020,31,0,0,0,0,31
MATHEMATICS,2021,22,0,0,0,0,22
MATHEMATICS,2023,86,0,0,0,0,86
MATHEMATICS,2024,105,0,0,0,0,105
MATHEMATICS,2025,81,0,0,0,0,81
MATHEMATICS,2026,28,0,0,0,0,28
SCIENCES,2020,4,0,0,0,0,4
SCIENCES,2021,1,0,0,0,0,1
SCIENCES,2022,3,0,0,0,0,3
SCIENCES,2023,2,0,0,0,0,2
SCIENCES,2024,5,0,0,0,0,5
SCIENCES,2025,9,0,0,0,0,9
SCIENCES,2026,1,0,0,0,0,1
