subject,content_type,count
FRENCH,COMPREHENSION,148
FRENCH,DICTATION,55
FRENCH,GRAMMAR,22
FRENCH,LANGUAGE,5
FRENCH,REWRITING,1
FRENCH,WRITING_PROMPT,141
HISTORY_GEOGRAPHY_EMC,CHRONOLOGY,43
HISTORY_GEOGRAPHY_EMC,DEVELOPPEMENT_CONSTRUIT,32
HISTORY_GEOGRAPHY_EMC,DOCUMENT_ANALYSIS,4
HISTORY_GEOGRAPHY_EMC,EMC_DOCUMENT_ANALYSIS,201
HISTORY_GEOGRAPHY_EMC,KNOWLEDGE,1
HISTORY_GEOGRAPHY_EMC,MAP,30
MATHEMATICS,ALGORITHM,56
MATHEMATICS,AUTOMATISM,2
MATHEMATICS,CALCULATION,8
MATHEMATICS,DATA_ANALYSIS,52
MATHEMATICS,FUNCTION,24
MATHEMATICS,GEOMETRY,106
MATHEMATICS,JUSTIFICATION,33
MATHEMATICS,PROBABILITY,25
MATHEMATICS,PROBLEM,2
MATHEMATICS,REASONING,82
SCIENCES,CALCULATION,2
SCIENCES,DIAGRAM,10
SCIENCES,DOCUMENT_ANALYSIS,3
SCIENCES,EXPERIMENT,2
SCIENCES,GRAPH_INTERPRETATION,4
SCIENCES,SCIENTIFIC_REASONING,4
