subject,skill_code,skill_name,official_total,validated,compatible_true,runtime_playable,with_correction,years_present,formats_present
EMC,CITOYENNETE_SKILL,Citoyenneté,0,0,0,0,0,0,0
EMC,JUSTICE_SKILL,Justice,0,0,0,0,0,0,0
EMC,LAICITE_SKILL,Laïcité,0,0,0,0,0,0,0
EMC,LIBERTES_ET_DROITS_SKILL,Libertés et droits,0,0,0,0,0,0,0
EMC,MEDIAS_ET_ESPRIT_CRITIQUE_SKILL,Médias et esprit critique,0,0,0,0,0,0,0
EMC,VALEURS_DE_LA_REPUBLIQUE_SKILL,Valeurs de la République,0,0,0,0,0,0,0
FRENCH,ACCORDS_SKILL,Accords,53,53,53,53,53,6,2
FRENCH,CLASSES_GRAMMATICALES_SKILL,Classes grammaticales,8,8,8,8,8,2,2
FRENCH,COMPREHENSION_SKILL,Compréhension,130,130,130,130,130,4,5
FRENCH,CONJUGAISON_SKILL,Conjugaison,0,0,0,0,0,0,0
FRENCH,EXPRESSION_ECRITE_SKILL,Expression écrite,150,150,150,150,150,5,3
FRENCH,FIGURES_DE_STYLE_SKILL,Figures de style,0,0,0,0,0,0,0
FRENCH,FONCTIONS_GRAMMATICALES_SKILL,Fonctions grammaticales,37,37,37,37,37,4,4
FRENCH,HOMOPHONES_GRAMMATICAUX_SKILL,Homophones grammaticaux,0,0,0,0,0,0,0
FRENCH,ORTHOGRAPHE_SKILL,Orthographe,1,1,1,1,1,1,1
FRENCH,PHRASES_COMPLEXES_SKILL,Phrases complexes,0,0,0,0,0,0,0
FRENCH,VOCABULAIRE_SKILL,Vocabulaire,59,59,59,59,59,4,8
GEOGRAPHY,DEVELOPPEMENT_DURABLE_SKILL,Développement durable,0,0,0,0,0,0,0
GEOGRAPHY,ESPACES_PRODUCTIFS_SKILL,Espaces productifs,0,0,0,0,0,0,0
GEOGRAPHY,FRANCE_ET_TERRITOIRES_SKILL,France et territoires,0,0,0,0,0,0,0
GEOGRAPHY,INEGALITES_MONDIALES_SKILL,Inégalités mondiales,0,0,0,0,0,0,0
GEOGRAPHY,MOBILITES_HUMAINES_SKILL,Mobilités humaines,0,0,0,0,0,0,0
GEOGRAPHY,MONDIALISATION_SKILL,Mondialisation,0,0,0,0,0,0,0
GEOGRAPHY,RISQUES_NATURELS_SKILL,Risques naturels,0,0,0,0,0,0,0
GEOGRAPHY,UNION_EUROPEENNE_SKILL,Union européenne,0,0,0,0,0,0,0
GEOGRAPHY,URBANISATION_SKILL,Urbanisation,0,0,0,0,0,0,0
