question_id,validation_from,validation_to,compat_from,compat_to,decision,reconciliation
1979,REJECTED,REJECTED,FALSE,FALSE,Placeholder non pédagogique,AGREE
1980,REJECTED,REJECTED,FALSE,FALSE,Placeholder non pédagogique,AGREE
1981,REJECTED,REJECTED,FALSE,FALSE,Placeholder non pédagogique,AGREE
1988,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1989,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1990,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1991,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1992,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1993,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1994,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1995,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1996,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1997,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1998,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
1999,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2000,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2001,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2002,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2003,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2004,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2005,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2006,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2007,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2008,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2009,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2010,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2011,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2012,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2013,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2014,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2015,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2016,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2017,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2018,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2019,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2020,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2021,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2022,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2023,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2024,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2025,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2026,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2027,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2028,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2029,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2030,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2031,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2032,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2033,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2034,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2035,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2036,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2037,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2038,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2039,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2040,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2041,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2042,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2043,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2044,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2045,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2046,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2047,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2048,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2049,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2050,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2051,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2052,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2053,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2054,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2055,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2056,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
2057,REVIEW,VALIDATED,REVIEW,TRUE,IN_PROGRAM_2027,AGREE
