content_id,subject,from_skill,to_skill,to_chapter,source_type
1,MATHEMATICS,,146,106,LEGACY_BANK
2,FRENCH,,84,81,LEGACY_BANK
3,MATHEMATICS,,131,100,LEGACY_BANK
4,MATHEMATICS,,131,100,LEGACY_BANK
5,MATHEMATICS,,121,96,LEGACY_BANK
6,MATHEMATICS,,121,96,LEGACY_BANK
7,MATHEMATICS,,121,96,LEGACY_BANK
8,MATHEMATICS,,121,96,LEGACY_BANK
9,MATHEMATICS,,121,96,LEGACY_BANK
10,MATHEMATICS,,110,92,LEGACY_BANK
11,MATHEMATICS,,124,97,LEGACY_BANK
12,MATHEMATICS,,113,93,LEGACY_BANK
13,MATHEMATICS,,107,91,LEGACY_BANK
14,FRENCH,,87,82,LEGACY_BANK
15,HISTORY,,181,119,LEGACY_BANK
16,GEOGRAPHY,,208,130,LEGACY_BANK
17,GEOGRAPHY,,220,136,LEGACY_BANK
18,GEOGRAPHY,,220,136,LEGACY_BANK
19,HISTORY,,189,122,LEGACY_BANK
20,MATHEMATICS,,107,91,LEGACY_BANK
21,MATHEMATICS,,107,91,LEGACY_BANK
22,MATHEMATICS,,107,91,LEGACY_BANK
23,MATHEMATICS,,107,91,LEGACY_BANK
24,MATHEMATICS,,107,91,LEGACY_BANK
25,MATHEMATICS,,107,91,LEGACY_BANK
26,MATHEMATICS,,129,99,LEGACY_BANK
27,MATHEMATICS,,129,99,LEGACY_BANK
28,MATHEMATICS,,144,105,LEGACY_BANK
29,MATHEMATICS,,107,91,LEGACY_BANK
30,MATHEMATICS,,107,91,LEGACY_BANK
31,MATHEMATICS,,107,91,LEGACY_BANK
32,MATHEMATICS,,107,91,LEGACY_BANK
33,MATHEMATICS,,107,91,LEGACY_BANK
34,MATHEMATICS,,107,91,LEGACY_BANK
35,MATHEMATICS,,107,91,LEGACY_BANK
36,MATHEMATICS,,107,91,LEGACY_BANK
37,MATHEMATICS,,107,91,LEGACY_BANK
38,MATHEMATICS,,107,91,LEGACY_BANK
39,MATHEMATICS,,107,91,LEGACY_BANK
40,MATHEMATICS,,107,91,LEGACY_BANK
41,MATHEMATICS,,107,91,LEGACY_BANK
42,MATHEMATICS,,107,91,LEGACY_BANK
43,MATHEMATICS,,107,91,LEGACY_BANK
44,MATHEMATICS,,107,91,LEGACY_BANK
45,MATHEMATICS,,107,91,LEGACY_BANK
46,MATHEMATICS,,107,91,LEGACY_BANK
47,MATHEMATICS,,107,91,LEGACY_BANK
48,MATHEMATICS,,107,91,LEGACY_BANK
49,MATHEMATICS,,107,91,LEGACY_BANK
50,MATHEMATICS,,107,91,LEGACY_BANK
51,MATHEMATICS,,107,91,LEGACY_BANK
52,MATHEMATICS,,107,91,LEGACY_BANK
53,MATHEMATICS,,107,91,LEGACY_BANK
54,FRENCH,,105,90,LEGACY_BANK
55,FRENCH,,89,83,LEGACY_BANK
56,FRENCH,,87,82,LEGACY_BANK
57,FRENCH,,105,90,LEGACY_BANK
58,FRENCH,,87,82,LEGACY_BANK
59,FRENCH,,89,83,LEGACY_BANK
60,FRENCH,,89,83,LEGACY_BANK
61,FRENCH,,87,82,LEGACY_BANK
62,FRENCH,,105,90,LEGACY_BANK
63,FRENCH,,89,83,LEGACY_BANK
64,FRENCH,,105,90,LEGACY_BANK
65,FRENCH,,87,82,LEGACY_BANK
66,FRENCH,,105,90,LEGACY_BANK
67,FRENCH,,89,83,LEGACY_BANK
68,FRENCH,,87,82,LEGACY_BANK
69,MATHEMATICS,,107,91,LEGACY_BANK
70,MATHEMATICS,,107,91,LEGACY_BANK
71,MATHEMATICS,,107,91,LEGACY_BANK
72,MATHEMATICS,,107,91,LEGACY_BANK
73,MATHEMATICS,,107,91,LEGACY_BANK
74,FRENCH,,89,83,ARCHIVE_DERIVED
75,FRENCH,,89,83,ARCHIVE_DERIVED
76,FRENCH,,89,83,ARCHIVE_DERIVED
77,FRENCH,,89,83,LEGACY_BANK
78,FRENCH,,89,83,LEGACY_BANK
79,FRENCH,,89,83,LEGACY_BANK
80,FRENCH,,89,83,LEGACY_BANK
81,FRENCH,,89,83,LEGACY_BANK
82,FRENCH,,89,83,ARCHIVE_DERIVED
83,FRENCH,,89,83,LEGACY_BANK
84,FRENCH,,89,83,ARCHIVE_DERIVED
85,FRENCH,,89,83,ARCHIVE_DERIVED
86,FRENCH,,89,83,LEGACY_BANK
87,FRENCH,,89,83,ARCHIVE_DERIVED
88,FRENCH,,89,83,LEGACY_BANK
89,FRENCH,,89,83,LEGACY_BANK
90,FRENCH,,89,83,LEGACY_BANK
91,FRENCH,,89,83,ARCHIVE_DERIVED
92,FRENCH,,89,83,LEGACY_BANK
93,FRENCH,,89,83,LEGACY_BANK
94,FRENCH,,89,83,LEGACY_BANK
95,FRENCH,,89,83,LEGACY_BANK
96,FRENCH,,89,83,ARCHIVE_DERIVED
97,FRENCH,,89,83,LEGACY_BANK
98,FRENCH,,89,83,ARCHIVE_DERIVED
99,FRENCH,,89,83,LEGACY_BANK
100,FRENCH,,89,83,LEGACY_BANK
101,FRENCH,,89,83,LEGACY_BANK
102,FRENCH,,89,83,LEGACY_BANK
103,FRENCH,,89,83,LEGACY_BANK
104,FRENCH,,89,83,LEGACY_BANK
105,FRENCH,,89,83,LEGACY_BANK
106,FRENCH,,89,83,LEGACY_BANK
107,FRENCH,,89,83,LEGACY_BANK
108,FRENCH,,89,83,LEGACY_BANK
109,FRENCH,,89,83,LEGACY_BANK
110,FRENCH,,89,83,LEGACY_BANK
111,FRENCH,,89,83,LEGACY_BANK
112,FRENCH,,89,83,LEGACY_BANK
113,FRENCH,,89,83,LEGACY_BANK
114,FRENCH,,84,81,LEGACY_BANK
115,FRENCH,,84,81,LEGACY_BANK
116,FRENCH,,84,81,LEGACY_BANK
117,FRENCH,,84,81,LEGACY_BANK
118,FRENCH,,84,81,LEGACY_BANK
119,FRENCH,,84,81,ARCHIVE_DERIVED
120,FRENCH,,84,81,ARCHIVE_DERIVED
121,FRENCH,,84,81,LEGACY_BANK
122,FRENCH,,84,81,ARCHIVE_DERIVED
123,FRENCH,,84,81,LEGACY_BANK
124,FRENCH,,84,81,ARCHIVE_DERIVED
125,FRENCH,,84,81,LEGACY_BANK
126,FRENCH,,84,81,ARCHIVE_DERIVED
127,FRENCH,,84,81,LEGACY_BANK
128,FRENCH,,84,81,LEGACY_BANK
129,FRENCH,,84,81,LEGACY_BANK
130,FRENCH,,84,81,LEGACY_BANK
131,FRENCH,,84,81,LEGACY_BANK
132,FRENCH,,84,81,LEGACY_BANK
133,FRENCH,,103,89,ARCHIVE_DERIVED
134,FRENCH,,103,89,ARCHIVE_DERIVED
135,FRENCH,,103,89,ARCHIVE_DERIVED
136,FRENCH,,103,89,ARCHIVE_DERIVED
137,FRENCH,,103,89,LEGACY_BANK
138,FRENCH,,103,89,ARCHIVE_DERIVED
139,FRENCH,,103,89,ARCHIVE_DERIVED
140,FRENCH,,103,89,LEGACY_BANK
141,FRENCH,,103,89,ARCHIVE_DERIVED
142,FRENCH,,103,89,LEGACY_BANK
143,FRENCH,,103,89,LEGACY_BANK
144,FRENCH,,103,89,ARCHIVE_DERIVED
145,FRENCH,,103,89,LEGACY_BANK
146,FRENCH,,103,89,LEGACY_BANK
147,FRENCH,,103,89,ARCHIVE_DERIVED
148,FRENCH,,103,89,ARCHIVE_DERIVED
149,FRENCH,,103,89,LEGACY_BANK
150,FRENCH,,103,89,LEGACY_BANK
151,FRENCH,,103,89,LEGACY_BANK
152,FRENCH,,103,89,LEGACY_BANK
153,FRENCH,,103,89,LEGACY_BANK
154,FRENCH,,103,89,LEGACY_BANK
155,FRENCH,,103,89,LEGACY_BANK
156,FRENCH,,103,89,LEGACY_BANK
157,FRENCH,,103,89,LEGACY_BANK
158,FRENCH,,103,89,LEGACY_BANK
159,FRENCH,,103,89,LEGACY_BANK
160,FRENCH,,103,89,LEGACY_BANK
161,FRENCH,,103,89,LEGACY_BANK
162,FRENCH,,103,89,LEGACY_BANK
