subject,domain,chapter,skill,subskill,importance,exercise_count,family_count,official_count,archive_derived_count,brevet_style_count,ai_generated_count,consolidation_count,current_level_count,stretch_count,brevet_count,correction_coverage,asset_completeness,coverage_status
FRENCH,Lecture et compréhension,Compréhension de textes,Repérer des informations explicites,,CRITICAL,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,Lecture et compréhension,Compréhension de textes,Inférer des informations implicites,,CRITICAL,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,Lecture et compréhension,Compréhension de textes,Comprendre le sens global,,CRITICAL,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,Lecture et compréhension,Interprétation et analyse,Procédés d'écriture,,CRITICAL,50,13,0,5,0,0,,,,,1.0,1.0,COMPLETE
FRENCH,Lecture et compréhension,Interprétation et analyse,Point de vue et intentions,,CRITICAL,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Classes grammaticales,,HIGH,60,1,0,15,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Fonctions dans la phrase,,HIGH,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Phrase simple et complexe,,HIGH,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Temps et modes,,HIGH,40,9,0,8,0,0,,,,,1.0,1.0,COMPLETE
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Accords du verbe,,HIGH,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Orthographe lexicale,,HIGH,100,2,0,26,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accords dans le groupe nominal,,HIGH,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accord sujet-verbe,,HIGH,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Vocabulaire,Sens des mots,,MEDIUM,30,11,0,5,0,0,,,,,1.0,1.0,COMPLETE
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Vocabulaire,Formation des mots,,MEDIUM,30,12,0,0,0,0,,,,,1.0,1.0,COMPLETE
FRENCH,Écriture,Réécriture,Transformer un texte,,HIGH,40,12,0,0,0,40,,,,,1.0,1.0,COMPLETE
FRENCH,Écriture,Réécriture,Maintenir la cohérence,,HIGH,40,12,0,0,0,40,,,,,1.0,1.0,COMPLETE
FRENCH,Écriture,Dictée,Orthographe en situation,,HIGH,40,12,0,0,0,40,,,,,1.0,1.0,COMPLETE
FRENCH,Écriture,Dictée,Stratégies de relecture,,HIGH,40,12,0,0,0,40,,,,,1.0,1.0,COMPLETE
FRENCH,Écriture,Expression écrite,Organiser un écrit,,CRITICAL,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
FRENCH,Écriture,Expression écrite,Qualité de l'expression,,CRITICAL,30,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
