subject,domain,chapter,skill,subskill,exercise_count,coverage_status
FRENCH,Lecture et compréhension,Compréhension de textes,Repérer des informations explicites,Localiser une information,30,PARTIAL
FRENCH,Lecture et compréhension,Compréhension de textes,Repérer des informations explicites,Sélectionner l'essentiel,30,PARTIAL
FRENCH,Lecture et compréhension,Compréhension de textes,Repérer des informations explicites,S'appuyer sur le texte,30,PARTIAL
FRENCH,Lecture et compréhension,Compréhension de textes,Inférer des informations implicites,Déduire un sens,30,PARTIAL
FRENCH,Lecture et compréhension,Compréhension de textes,Inférer des informations implicites,Croiser des indices,30,PARTIAL
FRENCH,Lecture et compréhension,Compréhension de textes,Comprendre le sens global,Identifier le thème,30,PARTIAL
FRENCH,Lecture et compréhension,Compréhension de textes,Comprendre le sens global,Saisir l'enjeu du texte,30,PARTIAL
FRENCH,Lecture et compréhension,Compréhension de textes,Comprendre le sens global,Résumer,30,PARTIAL
FRENCH,Lecture et compréhension,Interprétation et analyse,Procédés d'écriture,Figures de style,50,COMPLETE
FRENCH,Lecture et compréhension,Interprétation et analyse,Procédés d'écriture,Registres,50,COMPLETE
FRENCH,Lecture et compréhension,Interprétation et analyse,Procédés d'écriture,Choix lexicaux,50,COMPLETE
FRENCH,Lecture et compréhension,Interprétation et analyse,Point de vue et intentions,Narrateur / locuteur,30,PARTIAL
FRENCH,Lecture et compréhension,Interprétation et analyse,Point de vue et intentions,Effets sur le lecteur,30,PARTIAL
FRENCH,Lecture et compréhension,Interprétation et analyse,Point de vue et intentions,Justifier une interprétation,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Classes grammaticales,Nature des mots,60,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Classes grammaticales,Déterminants / pronoms,60,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Classes grammaticales,Adverbes / prépositions / conjonctions,60,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Fonctions dans la phrase,Sujet,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Fonctions dans la phrase,COD / COI,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Fonctions dans la phrase,Compléments circonstanciels,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Phrase simple et complexe,Propositions,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Phrase simple et complexe,Subordination / coordination,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Phrase simple et complexe,Ponctuation,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Temps et modes,"Indicatif (présent, passé, futur)",40,COMPLETE
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Temps et modes,Conditionnel,40,COMPLETE
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Temps et modes,Subjonctif courant,40,COMPLETE
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Accords du verbe,Personne et nombre,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Accords du verbe,Groupes verbaux,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Accords du verbe,Temps composés,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Orthographe lexicale,Mots courants et homophones,100,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Orthographe lexicale,Règles d'usage,100,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accords dans le groupe nominal,Déterminant / nom / adjectif,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accords dans le groupe nominal,Participe passé,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accord sujet-verbe,Sujet simple,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accord sujet-verbe,Sujet inversé / éloigné,30,PARTIAL
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Vocabulaire,Sens des mots,Sens en contexte,30,COMPLETE
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Vocabulaire,Sens des mots,Polysémie,30,COMPLETE
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Vocabulaire,Sens des mots,Nuances et synonymes,30,COMPLETE
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Vocabulaire,Formation des mots,Préfixes / suffixes,30,COMPLETE
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Vocabulaire,Formation des mots,Familles de mots,30,COMPLETE
FRENCH,Écriture,Réécriture,Transformer un texte,Changer personne / temps,40,COMPLETE
FRENCH,Écriture,Réécriture,Transformer un texte,Expansion / réduction,40,COMPLETE
FRENCH,Écriture,Réécriture,Transformer un texte,Changer de registre,40,COMPLETE
FRENCH,Écriture,Réécriture,Maintenir la cohérence,Réaccorder,40,COMPLETE
FRENCH,Écriture,Réécriture,Maintenir la cohérence,Préserver le sens,40,COMPLETE
FRENCH,Écriture,Dictée,Orthographe en situation,Orthographe lexicale,40,COMPLETE
FRENCH,Écriture,Dictée,Orthographe en situation,Orthographe grammaticale,40,COMPLETE
FRENCH,Écriture,Dictée,Stratégies de relecture,Contrôler les verbes,40,COMPLETE
FRENCH,Écriture,Dictée,Stratégies de relecture,Contrôler les accords du GN,40,COMPLETE
FRENCH,Écriture,Expression écrite,Organiser un écrit,Générer des idées,30,PARTIAL
FRENCH,Écriture,Expression écrite,Organiser un écrit,Planifier,30,PARTIAL
FRENCH,Écriture,Expression écrite,Organiser un écrit,Paragraphes,30,PARTIAL
FRENCH,Écriture,Expression écrite,Qualité de l'expression,Précision lexicale,30,PARTIAL
FRENCH,Écriture,Expression écrite,Qualité de l'expression,Variété syntaxique,30,PARTIAL
FRENCH,Écriture,Expression écrite,Qualité de l'expression,Correction linguistique,30,PARTIAL
FRENCH,Écriture,Expression écrite,Genres d'écrits,Narratif,30,PARTIAL
FRENCH,Écriture,Expression écrite,Genres d'écrits,Descriptif,30,PARTIAL
FRENCH,Écriture,Expression écrite,Genres d'écrits,Explicatif,30,PARTIAL
FRENCH,Écriture,Argumentation,Construire une thèse,Prendre position,30,PARTIAL
FRENCH,Écriture,Argumentation,Construire une thèse,Sélectionner des arguments,30,PARTIAL
FRENCH,Écriture,Argumentation,Construire une thèse,Illustrer par des exemples,30,PARTIAL
FRENCH,Écriture,Argumentation,Structurer un paragraphe argumentatif,Connecteurs,30,PARTIAL
FRENCH,Écriture,Argumentation,Structurer un paragraphe argumentatif,Progression,30,PARTIAL
FRENCH,Écriture,Argumentation,Structurer un paragraphe argumentatif,Conclure,30,PARTIAL
FRENCH,Formats d'épreuve DNB,Compréhension et compétences linguistiques (DNB),Questions de compréhension,Répondre à partir du texte,50,COMPLETE
FRENCH,Formats d'épreuve DNB,Compréhension et compétences linguistiques (DNB),Questions de compréhension,Justifier brièvement,50,COMPLETE
FRENCH,Formats d'épreuve DNB,Compréhension et compétences linguistiques (DNB),Compétences linguistiques,Questions de grammaire,30,PARTIAL
FRENCH,Formats d'épreuve DNB,Compréhension et compétences linguistiques (DNB),Compétences linguistiques,Exercice de réécriture,30,PARTIAL
FRENCH,Formats d'épreuve DNB,Compréhension et compétences linguistiques (DNB),Compétences linguistiques,Dictée,30,PARTIAL
FRENCH,Formats d'épreuve DNB,Rédaction DNB,Traiter le sujet,Comprendre la consigne,50,COMPLETE
FRENCH,Formats d'épreuve DNB,Rédaction DNB,Traiter le sujet,Sujet d'imagination / réflexion,50,COMPLETE
FRENCH,Formats d'épreuve DNB,Rédaction DNB,Produire un texte abouti,Respecter la longueur attendue,30,PARTIAL
FRENCH,Formats d'épreuve DNB,Rédaction DNB,Produire un texte abouti,Se relire,30,PARTIAL
FRENCH,Formats d'épreuve DNB,Rédaction DNB,Produire un texte abouti,Critères d'évaluation,30,PARTIAL
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Comparer et ordonner,Repérer sur une droite graduée,48,GOOD
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Comparer et ordonner,Comparer relatifs et rationnels,48,GOOD
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Comparer et ordonner,Situer dans un intervalle,48,GOOD
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Opérations sur les relatifs,Addition et soustraction,12,PARTIAL
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Opérations sur les relatifs,Multiplication et division,12,PARTIAL
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Opérations sur les relatifs,Priorités opératoires,12,PARTIAL
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Représenter les rationnels,Fraction et écriture décimale,12,PARTIAL
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Représenter les rationnels,Écritures mixtes,12,PARTIAL
MATHEMATICS,Nombres et calculs,Fractions,Simplifier et rendre irréductible,Utiliser le PGCD,40,PARTIAL
MATHEMATICS,Nombres et calculs,Fractions,Simplifier et rendre irréductible,Fractions égales,40,PARTIAL
MATHEMATICS,Nombres et calculs,Fractions,Simplifier et rendre irréductible,Forme irréductible,40,PARTIAL
MATHEMATICS,Nombres et calculs,Fractions,Calculer avec des fractions,Addition et soustraction,40,COMPLETE
MATHEMATICS,Nombres et calculs,Fractions,Calculer avec des fractions,Multiplication,40,COMPLETE
MATHEMATICS,Nombres et calculs,Fractions,Calculer avec des fractions,Division,40,COMPLETE
MATHEMATICS,Nombres et calculs,Fractions,Résoudre des problèmes de fractions,Partie d'une quantité,40,COMPLETE
MATHEMATICS,Nombres et calculs,Fractions,Résoudre des problèmes de fractions,Problèmes contextualisés,40,COMPLETE
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Propriétés des puissances,Produit de puissances,32,PARTIAL
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Propriétés des puissances,Quotient de puissances,32,PARTIAL
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Propriétés des puissances,Exposants négatifs,32,PARTIAL
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Puissances de 10,Écriture décimale,12,PARTIAL
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Puissances de 10,Calculs avec 10^n,12,PARTIAL
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Notation scientifique,Passer en notation scientifique,12,PARTIAL
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Notation scientifique,Comparer des grandeurs,12,PARTIAL
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Notation scientifique,Calculer en notation scientifique,12,PARTIAL
MATHEMATICS,Nombres et calculs,Arithmétique,Divisibilité,Critères de divisibilité,12,PARTIAL
MATHEMATICS,Nombres et calculs,Arithmétique,Divisibilité,Multiples et diviseurs,12,PARTIAL
MATHEMATICS,Nombres et calculs,Arithmétique,PGCD et applications,Algorithme d'Euclide,12,PARTIAL
MATHEMATICS,Nombres et calculs,Arithmétique,PGCD et applications,Simplification de fractions,12,PARTIAL
MATHEMATICS,Nombres et calculs,Arithmétique,Nombres premiers,Reconnaître un nombre premier,12,PARTIAL
MATHEMATICS,Nombres et calculs,Arithmétique,Nombres premiers,Décomposition en facteurs premiers,12,PARTIAL
MATHEMATICS,Nombres et calculs,Calcul littéral,Écrire et interpréter une expression,Traduire une situation,50,COMPLETE
MATHEMATICS,Nombres et calculs,Calcul littéral,Écrire et interpréter une expression,Substituer une valeur,50,COMPLETE
MATHEMATICS,Nombres et calculs,Calcul littéral,Écrire et interpréter une expression,Tester une égalité,50,COMPLETE
MATHEMATICS,Nombres et calculs,Calcul littéral,Manipuler des expressions,Sommes algébriques,50,COMPLETE
MATHEMATICS,Nombres et calculs,Calcul littéral,Manipuler des expressions,Produits,50,COMPLETE
MATHEMATICS,Nombres et calculs,Calcul littéral,Manipuler des expressions,Parenthèses,50,COMPLETE
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Développer,k(a+b),42,PARTIAL
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Développer,(a+b)(c+d),42,PARTIAL
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Développer,Identités remarquables (sens direct),42,PARTIAL
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Réduire,Regrouper les termes semblables,12,PARTIAL
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Réduire,Ordonner une expression,12,PARTIAL
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Factoriser,Facteur commun,12,PARTIAL
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Factoriser,Identités remarquables (sens inverse),12,PARTIAL
MATHEMATICS,Nombres et calculs,Équations,Équations du premier degré,Résoudre ax+b=c,50,COMPLETE
MATHEMATICS,Nombres et calculs,Équations,Équations du premier degré,Transformer une équation,50,COMPLETE
MATHEMATICS,Nombres et calculs,Équations,Équations du premier degré,Vérifier une solution,50,COMPLETE
MATHEMATICS,Nombres et calculs,Équations,Équations produit nul,Mettre sous forme produit,50,COMPLETE
MATHEMATICS,Nombres et calculs,Équations,Équations produit nul,Trouver les racines,50,COMPLETE
MATHEMATICS,Nombres et calculs,Équations,Mettre en équation un problème,Choisir l'inconnue,50,COMPLETE
MATHEMATICS,Nombres et calculs,Équations,Mettre en équation un problème,Résoudre et interpréter,50,COMPLETE
MATHEMATICS,Nombres et calculs,Équations,Mettre en équation un problème,Contrôler la pertinence,50,COMPLETE
MATHEMATICS,Nombres et calculs,Problèmes numériques,Choisir une stratégie,Estimer un ordre de grandeur,12,PARTIAL
MATHEMATICS,Nombres et calculs,Problèmes numériques,Choisir une stratégie,Décomposer le problème,12,PARTIAL
MATHEMATICS,Nombres et calculs,Problèmes numériques,Mener un calcul justifié,Enchaîner les étapes,12,PARTIAL
MATHEMATICS,Nombres et calculs,Problèmes numériques,Mener un calcul justifié,Gérer les unités,12,PARTIAL
MATHEMATICS,Nombres et calculs,Problèmes numériques,Mener un calcul justifié,Présenter le résultat,12,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Proportionnalité,Reconnaître une situation de proportionnalité,Tableau de proportionnalité,40,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Proportionnalité,Reconnaître une situation de proportionnalité,Représentation graphique,40,PARTIAL
MATHEMATICS,"Organisation et gestion de données, fonctions",Proportionnalité,Calculer dans une situation proportionnelle,Coefficient de proportionnalité,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Proportionnalité,Calculer dans une situation proportionnelle,Produit en croix,40,COMPLETE
MATHEMATICS,"Organisation et gestion de données, fonctions",Proportionnalité,Calculer dans une situation proportionnelle,Échelles,40,COMPLETE
