content_id,subject,from_skill,to_skill,to_chapter,source_type
1979,MATHEMATICS,,107,91,OFFICIAL_ARCHIVE
1980,MATHEMATICS,,107,91,OFFICIAL_ARCHIVE
1981,MATHEMATICS,,107,91,OFFICIAL_ARCHIVE
1988,PHYSICS_CHEMISTRY,,244,148,OFFICIAL_ARCHIVE
1989,FRENCH,,92,84,OFFICIAL_ARCHIVE
1990,FRENCH,,92,84,OFFICIAL_ARCHIVE
1991,FRENCH,,92,84,OFFICIAL_ARCHIVE
1992,FRENCH,,92,84,OFFICIAL_ARCHIVE
1993,FRENCH,,92,84,OFFICIAL_ARCHIVE
1994,FRENCH,,92,84,OFFICIAL_ARCHIVE
1995,FRENCH,,92,84,OFFICIAL_ARCHIVE
1996,FRENCH,,79,79,OFFICIAL_ARCHIVE
1997,FRENCH,,79,79,OFFICIAL_ARCHIVE
1998,FRENCH,,79,79,OFFICIAL_ARCHIVE
1999,FRENCH,,103,89,OFFICIAL_ARCHIVE
2000,FRENCH,,93,84,OFFICIAL_ARCHIVE
2001,FRENCH,,103,89,OFFICIAL_ARCHIVE
2002,FRENCH,,103,89,OFFICIAL_ARCHIVE
2003,FRENCH,,103,89,OFFICIAL_ARCHIVE
2004,FRENCH,,92,84,OFFICIAL_ARCHIVE
2005,FRENCH,,92,84,OFFICIAL_ARCHIVE
2006,FRENCH,,92,84,OFFICIAL_ARCHIVE
2007,FRENCH,,92,84,OFFICIAL_ARCHIVE
2008,FRENCH,,79,79,OFFICIAL_ARCHIVE
2009,FRENCH,,92,84,OFFICIAL_ARCHIVE
2010,FRENCH,,92,84,OFFICIAL_ARCHIVE
2011,FRENCH,,92,84,OFFICIAL_ARCHIVE
2012,FRENCH,,92,84,OFFICIAL_ARCHIVE
2013,FRENCH,,92,84,OFFICIAL_ARCHIVE
2014,FRENCH,,92,84,OFFICIAL_ARCHIVE
2015,FRENCH,,92,84,OFFICIAL_ARCHIVE
2016,FRENCH,,92,84,OFFICIAL_ARCHIVE
