subject,domain,chapter,skill,importance,exercise_count,family_count,official_count,correction_coverage,coverage_status,gap_causes
FRENCH,Lecture et compréhension,Compréhension de textes,Repérer des informations explicites,CRITICAL,50,12,30,1.0,COMPLETE,OTHER
FRENCH,Lecture et compréhension,Compréhension de textes,Inférer des informations implicites,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Lecture et compréhension,Compréhension de textes,Comprendre le sens global,CRITICAL,50,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,Lecture et compréhension,Interprétation et analyse,Procédés d'écriture,CRITICAL,50,13,2,1.0,COMPLETE,OTHER
FRENCH,Lecture et compréhension,Interprétation et analyse,Point de vue et intentions,CRITICAL,50,12,4,1.0,COMPLETE,OTHER
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Classes grammaticales,HIGH,66,7,46,1.0,COMPLETE,OTHER
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Fonctions dans la phrase,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Phrase simple et complexe,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Temps et modes,HIGH,40,9,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Accords du verbe,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Orthographe lexicale,HIGH,106,8,165,1.0,COMPLETE,OTHER
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accords dans le groupe nominal,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accord sujet-verbe,HIGH,40,12,0,1.0,COMPLETE,NO_OFFICIAL_QUESTION_FOUND
