content_id,subject,skill_id,skill,chapter,domain,validation_status
1979,MATHEMATICS,107,Comparer et ordonner,Nombres relatifs et rationnels,Nombres et calculs,REVIEW
1980,MATHEMATICS,107,Comparer et ordonner,Nombres relatifs et rationnels,Nombres et calculs,REVIEW
1981,MATHEMATICS,107,Comparer et ordonner,Nombres relatifs et rationnels,Nombres et calculs,REVIEW
1988,PHYSICS_CHEMISTRY,244,Mesurer et calculer,Masse volumique et identification,Organisation et transformations de la matière,REVIEW
1988,PHYSICS_CHEMISTRY,256,Propagation du son,Son et signaux sonores,Des signaux pour observer et communiquer,REVIEW
1989,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1989,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1990,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1990,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1991,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1991,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1992,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1992,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1993,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1993,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1994,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1994,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1995,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
1996,FRENCH,79,Repérer des informations explicites,Compréhension de textes,Lecture et compréhension,REVIEW
1997,FRENCH,79,Repérer des informations explicites,Compréhension de textes,Lecture et compréhension,REVIEW
1998,FRENCH,79,Repérer des informations explicites,Compréhension de textes,Lecture et compréhension,REVIEW
1999,FRENCH,103,Questions de compréhension,Compréhension et compétences linguistiques (DNB),Formats d'épreuve DNB,REVIEW
2000,FRENCH,93,Formation des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2001,FRENCH,103,Questions de compréhension,Compréhension et compétences linguistiques (DNB),Formats d'épreuve DNB,REVIEW
2002,FRENCH,103,Questions de compréhension,Compréhension et compétences linguistiques (DNB),Formats d'épreuve DNB,REVIEW
2003,FRENCH,103,Questions de compréhension,Compréhension et compétences linguistiques (DNB),Formats d'épreuve DNB,REVIEW
2004,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2005,FRENCH,89,Orthographe lexicale,Orthographe et accords,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2005,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2006,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2007,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2008,FRENCH,79,Repérer des informations explicites,Compréhension de textes,Lecture et compréhension,REVIEW
2009,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2009,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2010,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2011,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2012,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2013,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2014,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2015,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2016,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2017,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2018,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2019,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2020,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2021,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2022,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2023,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2024,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2025,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2026,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2026,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2027,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2027,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2028,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2028,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2029,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2029,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2030,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2030,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2031,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2032,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2033,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2034,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2035,FRENCH,84,Classes grammaticales,Grammaire et syntaxe,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2035,FRENCH,92,Sens des mots,Vocabulaire,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",REVIEW
2036,PHYSICS_CHEMISTRY,250,Formes d'énergie,Formes et conversions d'énergie,L'énergie,REVIEW
2036,PHYSICS_CHEMISTRY,248,Identifier des forces,Forces et interactions,Mouvements et interactions,REVIEW
2037,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2038,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2038,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2039,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2040,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2041,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2042,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2042,MATHEMATICS,136,Vocabulaire des probabilités,Probabilités,"Organisation et gestion de données, fonctions",REVIEW
2043,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2044,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2045,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2045,MATHEMATICS,141,Fonctions linéaires,Fonctions linéaires et affines,"Organisation et gestion de données, fonctions",REVIEW
2046,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2047,MATHEMATICS,146,Calculer des aires,Aires et volumes,Grandeurs et mesures,REVIEW
2048,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2049,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2050,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2051,MATHEMATICS,141,Fonctions linéaires,Fonctions linéaires et affines,"Organisation et gestion de données, fonctions",REVIEW
2051,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2052,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2053,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2054,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2055,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2056,MATHEMATICS,107,Comparer et ordonner,Nombres relatifs et rationnels,Nombres et calculs,REVIEW
2057,MATHEMATICS,107,Comparer et ordonner,Nombres relatifs et rationnels,Nombres et calculs,REVIEW
2058,MATHEMATICS,107,Comparer et ordonner,Nombres relatifs et rationnels,Nombres et calculs,REVIEW
2059,MATHEMATICS,107,Comparer et ordonner,Nombres relatifs et rationnels,Nombres et calculs,REVIEW
2060,MATHEMATICS,107,Comparer et ordonner,Nombres relatifs et rationnels,Nombres et calculs,REVIEW
2061,MATHEMATICS,107,Comparer et ordonner,Nombres relatifs et rationnels,Nombres et calculs,REVIEW
2062,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
2063,MATHEMATICS,121,Développer,"Développement, réduction et factorisation",Nombres et calculs,REVIEW
