grade_code,subject_code,subject_label,chapter_code,chapter_title,chapter_status,skill_code,skill_title,content_type,difficulty,status,content_count,draft_count,usable_count
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENGLISH-4E-COMMUNICATION,Communiquer et argumenter dans des situations variées,exam_practice,2,approved,1,0,1
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENGLISH-4E-COMMUNICATION,Communiquer et argumenter dans des situations variées,exercise,2,approved,1,0,1
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-ARGUE,Exprimer et justifier une opinion,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-ARGUE,Exprimer et justifier une opinion,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-INTERACT,Soutenir une interaction,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-INTERACT,Soutenir une interaction,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-LISTEN,Comprendre un document oral varié,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-LISTEN,Comprendre un document oral varié,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-READ,Interpréter un document écrit,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-READ,Interpréter un document écrit,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-WRITE,Rédiger un texte organisé,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-WRITE,Rédiger un texte organisé,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENGLISH-4E-LANGUAGE,Mobiliser les formes linguistiques et reformuler un message,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENGLISH-4E-LANGUAGE,Mobiliser les formes linguistiques et reformuler un message,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-GRAMMAR,Mobiliser les structures grammaticales attendues,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-GRAMMAR,Mobiliser les structures grammaticales attendues,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-MEDIATION,Reformuler un message pour autrui,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-MEDIATION,Reformuler un message pour autrui,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-PHONOLOGY,Produire une prosodie intelligible,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-PHONOLOGY,Produire une prosodie intelligible,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-TENSE,Choisir temps et aspect,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-TENSE,Choisir temps et aspect,practice,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-VOCAB,Employer un lexique nuancé,assessment,2,draft,0,1,0
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-VOCAB,Employer un lexique nuancé,practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-EMC-4E-INFORMATION,Évaluer une information et argumenter de manière raisonnée,exam_practice,2,approved,1,0,1
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-EMC-4E-INFORMATION,Évaluer une information et argumenter de manière raisonnée,exercise,2,approved,1,0,1
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-ARGUMENT,Identifier un argument fallacieux,assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-ARGUMENT,Identifier un argument fallacieux,practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-FACT_OPINION,"Distinguer fait, opinion et croyance",assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-FACT_OPINION,"Distinguer fait, opinion et croyance",practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-IMAGE,Vérifier le contexte d'une image,assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-IMAGE,Vérifier le contexte d'une image,practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-PUBLISH,Adopter une publication responsable,assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-PUBLISH,Adopter une publication responsable,practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-SOURCE,Évaluer la fiabilité d'une source,assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-SOURCE,Évaluer la fiabilité d'une source,practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-EMC-4E-LIBERTIES,"Confronter libertés, responsabilités et règles de droit",exam_practice,2,approved,1,0,1
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-EMC-4E-LIBERTIES,"Confronter libertés, responsabilités et règles de droit",exercise,2,approved,1,0,1
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-ARGUE,Justifier juridiquement une position,assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-ARGUE,Justifier juridiquement une position,practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-BALANCE,Arbitrer entre libertés concurrentes,assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-BALANCE,Arbitrer entre libertés concurrentes,practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LAW,Relier une situation à l'État de droit,assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LAW,Relier une situation à l'État de droit,practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LIBERTY,Identifier une liberté fondamentale,assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LIBERTY,Identifier une liberté fondamentale,practice,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LIMIT,Expliquer la limite légale d'une liberté,assessment,2,draft,0,1,0
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LIMIT,Expliquer la limite légale d'une liberté,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-INTERACT,Interagir dans une situation variée,exam_practice,2,approved,1,0,1
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-INTERACT,Interagir dans une situation variée,exercise,2,approved,1,0,1
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-LISTEN,Comprendre un message oral contextualisé,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-LISTEN,Comprendre un message oral contextualisé,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-READ,Comprendre un texte court,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-READ,Comprendre un texte court,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-SPEAK,Produire un propos continu,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-SPEAK,Produire un propos continu,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-WRITE,Rédiger un texte bref,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-WRITE,Rédiger un texte bref,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-SPANISH-4E-COMMUNICATION,"Comprendre, produire et interagir dans des situations variées",assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-SPANISH-4E-COMMUNICATION,"Comprendre, produire et interagir dans des situations variées",practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-CULTURE,Interpréter un document culturel,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-CULTURE,Interpréter un document culturel,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-GRAMMAR,Utiliser les structures étudiées,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-GRAMMAR,Utiliser les structures étudiées,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-PHONOLOGY,Produire une parole intelligible,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-PHONOLOGY,Produire une parole intelligible,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-TENSE,Employer les temps attendus,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-TENSE,Employer les temps attendus,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-VOCAB,Mobiliser un lexique contextualisé,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-VOCAB,Mobiliser un lexique contextualisé,practice,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-SPANISH-4E-LANGUAGE,Mobiliser la langue pour interpréter des documents culturels,assessment,2,draft,0,1,0
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-SPANISH-4E-LANGUAGE,Mobiliser la langue pour interpréter des documents culturels,practice,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,Prélever une information explicite,assessment,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,Prélever une information explicite,practice,1,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,Prélever une information explicite,practice,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,Prélever une information explicite,practice,3,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,Construire une inférence,assessment,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,Construire une inférence,practice,1,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,Construire une inférence,practice,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,Construire une inférence,practice,3,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,Justifier une interprétation,assessment,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,Justifier une interprétation,practice,1,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,Justifier une interprétation,practice,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,Justifier une interprétation,practice,3,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,Analyser un procédé,assessment,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,Analyser un procédé,practice,1,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,Analyser un procédé,practice,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,Analyser un procédé,practice,3,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-VIEWPOINT,Identifier un point de vue,assessment,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-VIEWPOINT,Identifier un point de vue,practice,1,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-VIEWPOINT,Identifier un point de vue,practice,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-VIEWPOINT,Identifier un point de vue,practice,3,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-FRENCH-4E-COMPREHENSION,Mobiliser : Compréhension,exam_practice,2,approved,1,0,1
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-FRENCH-4E-COMPREHENSION,Mobiliser : Compréhension,exercise,3,approved,1,0,1
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-FRENCH-4E-COMPREHENSION,Mobiliser : Compréhension,worked_example,2,approved,1,0,1
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-CONCORDANCE,Assurer la cohérence temporelle,assessment,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-CONCORDANCE,Assurer la cohérence temporelle,practice,1,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-CONCORDANCE,Assurer la cohérence temporelle,practice,2,draft,0,1,0
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-CONCORDANCE,Assurer la cohérence temporelle,practice,3,draft,0,1,0
