grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-MOBILITY-TOURISM,CH-GEOGRAPHY-4E-MOBILITY,practice,PASS,draft,108764,108766,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-MOBILITY-TOURISM-PRACTICE-20260726111127-1,2,True,True
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-GLOBALIZATION-ACTOR,CH-GEOGRAPHY-4E-GLOBALIZATION,assessment,REVIEW,draft,108624,108626,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-GLOBALIZATION-ACTOR-ASSESSMENT-20260726111026-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-GLOBALIZATION-ACTOR,CH-GEOGRAPHY-4E-GLOBALIZATION,practice,REVIEW,draft,108644,108646,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-GLOBALIZATION-ACTOR-PRACTICE-20260726111036-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-GLOBALIZATION-FLOW,CH-GEOGRAPHY-4E-GLOBALIZATION,assessment,REVIEW,draft,108628,108630,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-GLOBALIZATION-FLOW-ASSESSMENT-20260726111028-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-GLOBALIZATION-FLOW,CH-GEOGRAPHY-4E-GLOBALIZATION,practice,REVIEW,draft,108640,108642,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-GLOBALIZATION-FLOW-PRACTICE-20260726111033-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-GLOBALIZATION-INTEGRATION,CH-GEOGRAPHY-4E-GLOBALIZATION,assessment,REVIEW,draft,108652,108654,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-GLOBALIZATION-INTEGRATION-ASSESSMENT-20260726111038-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-GLOBALIZATION-INTEGRATION,CH-GEOGRAPHY-4E-GLOBALIZATION,practice,REVIEW,draft,108648,108650,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-GLOBALIZATION-INTEGRATION-PRACTICE-20260726111037-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-GLOBALIZATION-MAP,CH-GEOGRAPHY-4E-GLOBALIZATION,assessment,REVIEW,draft,108660,108662,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-GLOBALIZATION-MAP-ASSESSMENT-20260726111046-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-GLOBALIZATION-MAP,CH-GEOGRAPHY-4E-GLOBALIZATION,practice,REVIEW,draft,108700,108702,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-GLOBALIZATION-MAP-PRACTICE-20260726111101-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-GLOBALIZATION-MARITIME,CH-GEOGRAPHY-4E-GLOBALIZATION,assessment,REVIEW,draft,108656,108658,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-GLOBALIZATION-MARITIME-ASSESSMENT-20260726111042-1,2,True,False
