grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-SLAVERY,CH-HISTORY-4E-18TH,practice,PASS,draft,109248,109250,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-SLAVERY-PRACTICE-20260726111948-1,2,True,True
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-ENLIGHTENMENT,CH-HISTORY-4E-18TH,assessment,REVIEW,draft,108776,108778,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-ENLIGHTENMENT-ASSESSMENT-20260726111134-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-ENLIGHTENMENT,CH-HISTORY-4E-18TH,practice,REVIEW,draft,108760,108762,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-ENLIGHTENMENT-PRACTICE-20260726111127-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-REVOLUTION,CH-HISTORY-4E-18TH,assessment,REVIEW,draft,108768,108770,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-REVOLUTION-ASSESSMENT-20260726111128-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-REVOLUTION,CH-HISTORY-4E-18TH,practice,REVIEW,draft,108780,108782,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-REVOLUTION-PRACTICE-20260726111134-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-SLAVERY,CH-HISTORY-4E-18TH,assessment,REVIEW,draft,108788,108790,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-SLAVERY-ASSESSMENT-20260726111141-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-SOURCE,CH-HISTORY-4E-18TH,assessment,REVIEW,draft,108792,108794,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-SOURCE-ASSESSMENT-20260726111143-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-SOURCE,CH-HISTORY-4E-18TH,practice,REVIEW,draft,108816,108818,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-SOURCE-PRACTICE-20260726111155-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-TRADE,CH-HISTORY-4E-18TH,assessment,REVIEW,draft,108796,108798,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-TRADE-ASSESSMENT-20260726111151-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-18TH-TRADE,CH-HISTORY-4E-18TH,practice,REVIEW,draft,108804,108806,DRAFT-0012C-AI-ENR-HISTORY-4E-18TH-TRADE-PRACTICE-20260726111153-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-COLONIZATION,CH-HISTORY-4E-19TH,assessment,REVIEW,draft,108824,108826,DRAFT-0012C-AI-ENR-HISTORY-4E-19TH-COLONIZATION-ASSESSMENT-20260726111158-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-COLONIZATION,CH-HISTORY-4E-19TH,practice,REVIEW,draft,108808,108810,DRAFT-0012C-AI-ENR-HISTORY-4E-19TH-COLONIZATION-PRACTICE-20260726111154-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-INDUSTRIALIZATION,CH-HISTORY-4E-19TH,assessment,REVIEW,draft,108820,108822,DRAFT-0012C-AI-ENR-HISTORY-4E-19TH-INDUSTRIALIZATION-ASSESSMENT-20260726111156-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-INDUSTRIALIZATION,CH-HISTORY-4E-19TH,practice,REVIEW,draft,104704,104706,PILOT-0012B-AI-ENR-HISTORY-4E-19TH-INDUSTRIALIZATION-PRACTICE-20260725213532-2,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-INDUSTRIALIZATION,CH-HISTORY-4E-19TH,practice,REVIEW,draft,104708,104710,PILOT-0012B-AI-ENR-HISTORY-4E-19TH-INDUSTRIALIZATION-PRACTICE-20260725213608-2,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-INDUSTRIALIZATION,CH-HISTORY-4E-19TH,practice,REVIEW,draft,104712,104714,PILOT-0012B-AI-ENR-HISTORY-4E-19TH-INDUSTRIALIZATION-PRACTICE-20260725213608-3,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-MIGRATION,CH-HISTORY-4E-19TH,assessment,REVIEW,draft,108828,108830,DRAFT-0012C-AI-ENR-HISTORY-4E-19TH-MIGRATION-ASSESSMENT-20260726111203-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-MIGRATION,CH-HISTORY-4E-19TH,practice,REVIEW,draft,108844,108846,DRAFT-0012C-AI-ENR-HISTORY-4E-19TH-MIGRATION-PRACTICE-20260726111211-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-SOCIETY,CH-HISTORY-4E-19TH,assessment,REVIEW,draft,108832,108834,DRAFT-0012C-AI-ENR-HISTORY-4E-19TH-SOCIETY-ASSESSMENT-20260726111204-1,2,True,False
FR-4E,HISTORY,Histoire,SK-ENR-HISTORY-4E-19TH-SOCIETY,CH-HISTORY-4E-19TH,practice,REVIEW,draft,108836,108838,DRAFT-0012C-AI-ENR-HISTORY-4E-19TH-SOCIETY-PRACTICE-20260726111209-1,2,True,False
