grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-LITERAL-MODEL,CH-MATHEMATICS-4E-LITERAL,practice,PASS,draft,106932,106934,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-LITERAL-MODEL-PRACTICE-20260726105615-1,1,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-LITERAL-MODEL,CH-MATHEMATICS-4E-LITERAL,practice,PASS,draft,109204,109206,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-LITERAL-MODEL-PRACTICE-20260726111906-1,2,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-POWERS-MEANING,CH-MATHEMATICS-4E-POWERS,practice,PASS,draft,107052,107054,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-POWERS-MEANING-PRACTICE-20260726105657-1,1,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-POWERS-RULES,CH-MATHEMATICS-4E-POWERS,assessment,PASS,draft,107096,107098,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-POWERS-RULES-ASSESSMENT-20260726105714-1,2,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-POWERS-RULES,CH-MATHEMATICS-4E-POWERS,practice,PASS,draft,107044,107046,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-POWERS-RULES-PRACTICE-20260726105653-1,2,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-POWERS-RULES,CH-MATHEMATICS-4E-POWERS,practice,PASS,draft,109212,109214,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-POWERS-RULES-PRACTICE-20260726111907-1,3,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-PYTH-CALCULATE,CH-MATHEMATICS-4E-PYTH,remediation,PASS,draft,107200,107202,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-PYTH-CALCULATE-REMEDIATION-20260726105753-1,1,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-PYTH-IDENTIFY,CH-MATHEMATICS-4E-PYTH,diagnostic,PASS,draft,107228,107230,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-PYTH-IDENTIFY-DIAGNOSTIC-20260726105818-1,2,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-STATS-COMPARE,CH-MATHEMATICS-4E-STATS,assessment,PASS,draft,107392,107394,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-STATS-COMPARE-ASSESSMENT-20260726110000-1,2,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-MATHEMATICS-4E-FRACT,CH-MATHEMATICS-4E-FRACT,diagnostic,PASS,draft,106944,106946,DRAFT-0012C-AI-MATHEMATICS-4E-FRACT-DIAGNOSTIC-20260726105619-1,2,True,True
FR-4E,MATHEMATICS,Mathématiques,SK-ENR-MATHEMATICS-4E-FRACT-ADD,CH-MATHEMATICS-4E-FRACT,assessment,REVIEW,draft,106836,106838,DRAFT-0012C-AI-ENR-MATHEMATICS-4E-FRACT-ADD-ASSESSMENT-20260726105541-1,2,True,False
