grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-EARTHQUAKE,CH-SVT-4E-EARTH,practice,PASS,draft,109112,109114,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-EARTHQUAKE-PRACTICE-20260726111409-1,2,True,True
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-EARTHQUAKE,CH-SVT-4E-EARTH,assessment,REJECT,draft,109108,109110,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-EARTHQUAKE-ASSESSMENT-20260726111408-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-EARTHQUAKE,CH-SVT-4E-EARTH,remediation,REVIEW,draft,104740,104742,PILOT-0012B-AI-ENR-SVT-4E-EARTH-EARTHQUAKE-REMEDIATION-20260725213831-3,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-EARTHQUAKE,CH-SVT-4E-EARTH,remediation,REVIEW,draft,104744,104746,PILOT-0012B-AI-ENR-SVT-4E-EARTH-EARTHQUAKE-REMEDIATION-20260725213906-2,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-MOTION,CH-SVT-4E-EARTH,assessment,REVIEW,draft,109116,109118,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-MOTION-ASSESSMENT-20260726111409-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-MOTION,CH-SVT-4E-EARTH,practice,REVIEW,draft,109104,109106,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-MOTION-PRACTICE-20260726111407-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-PLATE,CH-SVT-4E-EARTH,assessment,REVIEW,draft,109136,109138,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-PLATE-ASSESSMENT-20260726111418-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-PLATE,CH-SVT-4E-EARTH,practice,REVIEW,draft,109120,109122,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-PLATE-PRACTICE-20260726111410-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-RISK,CH-SVT-4E-EARTH,assessment,REVIEW,draft,109124,109126,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-RISK-ASSESSMENT-20260726111415-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-RISK,CH-SVT-4E-EARTH,practice,REVIEW,draft,109152,109154,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-RISK-PRACTICE-20260726111427-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-VOLCANO,CH-SVT-4E-EARTH,assessment,REVIEW,draft,109128,109130,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-VOLCANO-ASSESSMENT-20260726111417-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-EARTH-VOLCANO,CH-SVT-4E-EARTH,practice,REVIEW,draft,109144,109146,DRAFT-0012C-AI-ENR-SVT-4E-EARTH-VOLCANO-PRACTICE-20260726111426-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-CHROMOSOME,CH-SVT-4E-GENETICS,assessment,REVIEW,draft,109140,109142,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-CHROMOSOME-ASSESSMENT-20260726111424-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-CHROMOSOME,CH-SVT-4E-GENETICS,practice,REVIEW,draft,109148,109150,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-CHROMOSOME-PRACTICE-20260726111426-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-DATA,CH-SVT-4E-GENETICS,assessment,REVIEW,draft,109160,109162,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-DATA-ASSESSMENT-20260726111432-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-DATA,CH-SVT-4E-GENETICS,practice,REVIEW,draft,109184,109186,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-DATA-PRACTICE-20260726111438-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-HEREDITY,CH-SVT-4E-GENETICS,assessment,REVIEW,draft,109176,109178,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-HEREDITY-ASSESSMENT-20260726111436-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-HEREDITY,CH-SVT-4E-GENETICS,practice,REVIEW,draft,109164,109166,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-HEREDITY-PRACTICE-20260726111432-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-REPRODUCTION,CH-SVT-4E-GENETICS,assessment,REVIEW,draft,109180,109182,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-REPRODUCTION-ASSESSMENT-20260726111437-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-REPRODUCTION,CH-SVT-4E-GENETICS,practice,REVIEW,draft,109172,109174,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-REPRODUCTION-PRACTICE-20260726111436-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-VARIATION,CH-SVT-4E-GENETICS,assessment,REVIEW,draft,109200,109202,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-VARIATION-ASSESSMENT-20260726111454-1,2,True,False
FR-4E,SVT,SVT,SK-ENR-SVT-4E-GENETICS-VARIATION,CH-SVT-4E-GENETICS,practice,REVIEW,draft,109196,109198,DRAFT-0012C-AI-ENR-SVT-4E-GENETICS-VARIATION-PRACTICE-20260726111444-1,2,True,False
FR-4E,SVT,SVT,SK-SVT-4E-EARTH,CH-SVT-4E-EARTH,assessment,REVIEW,draft,109168,109170,DRAFT-0012C-AI-SVT-4E-EARTH-ASSESSMENT-20260726111432-1,2,True,False
FR-4E,SVT,SVT,SK-SVT-4E-EARTH,CH-SVT-4E-EARTH,practice,REVIEW,draft,109156,109158,DRAFT-0012C-AI-SVT-4E-EARTH-PRACTICE-20260726111429-1,2,True,False
FR-4E,SVT,SVT,SK-SVT-4E-GENETICS,CH-SVT-4E-GENETICS,assessment,REVIEW,draft,109192,109194,DRAFT-0012C-AI-SVT-4E-GENETICS-ASSESSMENT-20260726111443-1,2,True,False
FR-4E,SVT,SVT,SK-SVT-4E-GENETICS,CH-SVT-4E-GENETICS,practice,REVIEW,draft,109188,109190,DRAFT-0012C-AI-SVT-4E-GENETICS-PRACTICE-20260726111443-1,2,True,False
